condition,metric,target,type,n,spearman_rho,spearman_p,abs_rho
constrained,chain_ptm_A_protein,titer,individual,16,0.4900663578396291,0.053974273162226576,0.4900663578396291
constrained,mean_entrance_contacts,titer,individual,16,0.459161272210103,0.07359599347413166,0.459161272210103
constrained,complex_iplddt,titer,individual,16,-0.4017661131838401,0.12294010274855478,0.4017661131838401
constrained,chain_ptm_T_atp,titer,individual,16,0.3752760397871034,0.1520527602764196,0.3752760397871034
constrained,pair_iptm_A_protein__T_atp,titer,individual,16,0.362031003088735,0.16822244229307293,0.362031003088735
constrained,confidence_score,titer,individual,16,-0.2869757951313143,0.2811847165470148,0.2869757951313143
constrained,complex_plddt,titer,individual,16,-0.28403245364278806,0.28636716511322435,0.28403245364278806
constrained,complex_ipde,titer,individual,16,0.28403245364278806,0.28636716511322435,0.28403245364278806
constrained,pair_iptm_A_protein__L_substrate,titer,individual,16,0.27520242917720916,0.3022553591884895,0.27520242917720916
constrained,chain_ptm_L_substrate,titer,individual,16,0.25459903875752504,0.3413020602524982,0.25459903875752504
constrained,pair_iptm_L_substrate__L_substrate,titer,individual,16,0.25459903875752504,0.3413020602524982,0.25459903875752504
constrained,complex_pde,titer,individual,16,0.2501840265247356,0.35002518025763796,0.2501840265247356
constrained,pair_iptm_L_substrate__T_atp,titer,individual,16,0.244297343547683,0.3618491054055737,0.244297343547683
constrained,ptm,titer,individual,16,0.2369389898263672,0.37693674370191366,0.2369389898263672
constrained,mean_contacts,titer,individual,16,0.23105230684931463,0.3892505371419811,0.23105230684931463
constrained,frac_entrance,titer,individual,16,-0.19571724991295308,0.46757149109433815,0.19571724991295308
constrained,frac_close,titer,individual,16,-0.15106857454879147,0.5765175625948977,0.15106857454879147
constrained,frac_active_site,titer,individual,16,0.145020760745947,0.5920450488727121,0.145020760745947
constrained,chain_ptm_S_substrate2,titer,individual,16,0.09713026912136795,0.7204533612901972,0.09713026912136795
constrained,pair_iptm_S_substrate2__S_substrate2,titer,individual,16,0.09713026912136795,0.7204533612901972,0.09713026912136795
constrained,pair_iptm_S_substrate2__T_atp,titer,individual,16,-0.09271525688857848,0.732716401893539,0.09271525688857848
constrained,mean_dist,titer,individual,16,0.07947022019021013,0.7698602810713127,0.07947022019021013
constrained,mean_mg_s_dist,titer,individual,16,0.06181017125905231,0.8201115700901211,0.06181017125905231
constrained,pair_iptm_A_protein__S_substrate2,titer,individual,16,0.055923488281999716,0.8370188319791677,0.055923488281999716
